Syntax version=4
Thu Apr 23 10:47:48 2026
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		particles_03	particles_05	particles_10	particles_100	particles_25	particles_50	baseline
D:	time(ms)	(0x200004a4,4)	(0x200004a8,4)	(0x200004ac,4)	(0x200004b0,4)	(0x200004b4,4)	(0x200004b8,4)	(0x20000070,6)
D:	107.98	0	0	0	0	0	0	9.020615
D:	108.85	0	0	0	0	0	0	9.188046
D:	109.64	0	0	0	0	0	0	9.377204
D:	110.42	0	0	0	0	0	0	9.386312
D:	111.24	0	0	0	0	0	0	9.407250
D:	112.05	0	0	0	0	0	0	9.208993
D:	112.92	0	0	0	0	0	0	9.040981
D:	113.74	0	0	0	0	0	0	8.921512
D:	114.59	0	0	0	0	0	0	9.103645
D:	115.43	0	0	0	0	0	0	9.182234
D:	116.26	0	0	0	0	0	0	9.299109
D:	117.13	0	0	0	0	0	0	9.359635
D:	118.14	0	0	0	0	0	0	9.527336
D:	119.01	0	0	0	0	0	0	9.369408
D:	119.86	0	0	0	0	0	0	9.421000
D:	120.72	0	0	0	0	0	0	9.259832
D:	121.62	0	0	0	0	0	0	9.206112
D:	122.49	0	0	0	0	0	0	9.107757
D:	123.40	0	0	0	0	0	0	9.062505
D:	124.28	0	0	0	0	0	0	8.912099
D:	125.13	0	0	0	0	0	0	9.121695
D:	126.01	0	0	0	0	0	0	9.196779
D:	126.86	0	0	0	0	0	0	9.153799
D:	127.72	0	0	0	0	0	0	9.110514
D:	128.60	0	0	0	0	0	0	9.206649
D:	129.45	0	0	0	0	0	0	9.284325
D:	130.30	0	0	0	0	0	0	9.195478
D:	131.22	0	0	0	0	0	0	9.232311
D:	132.07	0	0	0	0	0	0	9.136449
D:	132.93	0	0	0	0	0	0	9.174314
D:	133.78	0	0	0	0	0	0	9.268106
D:	134.61	0	0	0	0	0	0	9.289304
D:	135.45	0	0	0	0	0	0	9.394704
D:	136.32	0	0	0	0	0	0	9.540447
D:	137.21	0	0	0	0	0	0	9.448592
D:	138.21	0	0	0	0	0	0	9.373411
D:	139.32	0	0	0	0	0	0	9.258072
D:	140.26	0	0	0	0	0	0	9.304614
D:	141.11	0	0	0	0	0	0	9.238802
D:	142.04	0	0	0	0	0	0	9.132277
D:	142.87	0	0	0	0	0	0	9.070783
D:	143.74	0	0	0	0	0	0	9.094809
D:	144.61	0	0	0	0	0	0	9.075656
D:	145.48	0	0	0	0	0	0	9.056587
D:	146.42	0	0	0	0	0	0	9.054992
D:	147.34	0	0	0	0	0	0	8.904171
D:	148.27	0	0	0	0	0	0	8.882343
D:	149.12	0	0	0	0	0	0	9.107444
D:	150.02	0	0	0	0	0	0	9.095078
D:	150.85	0	0	0	0	0	0	9.026678
D:	151.64	0	0	0	0	0	0	9.015079
D:	152.44	0	0	0	0	0	0	8.944865
D:	153.27	0	0	0	0	0	0	8.933494
D:	154.21	0	0	0	0	0	0	9.055472
D:	155.01	0	0	0	0	0	0	9.161889
D:	155.85	0	0	0	0	0	0	9.210047
D:	156.71	0	0	0	0	0	0	9.107630
D:	157.52	0	0	0	0	0	0	9.150270
D:	158.38	0	0	0	0	0	0	9.150949
D:	159.23	0	0	0	0	0	0	9.566861
D:	160.13	0	0	0	0	0	0	9.514638
D:	161.00	0	0	0	0	0	0	9.535123
D:	161.86	0	0	0	0	0	0	9.400480
D:	162.66	0	0	0	0	0	0	9.326289
D:	163.45	0	0	0	0	0	0	9.218361
D:	164.24	0	0	0	0	0	0	9.075415
D:	165.10	0	0	0	0	0	0	9.043197
D:	165.92	0	0	0	0	0	0	9.080710
D:	166.70	0	0	0	0	0	0	9.004877
D:	167.50	0	0	0	0	0	0	9.043332
D:	168.33	0	0	0	0	0	0	9.288650
D:	169.26	0	0	0	0	0	0	9.581436
D:	170.11	0	0	0	0	0	0	9.780325
D:	170.99	0	0	0	0	0	0	9.538640
D:	171.86	0	0	0	0	0	0	9.442235
D:	172.65	0	0	0	0	0	0	9.252512
